OBJECTID,NAME,state,coyote_year,coyote_year_recl,coyote_James,dif_betw_James_agencies,xcoord,ycoord,yr.since.coy.1980,yr.since.coy.1985,yr.since.coy.1990,yr.since.coy.1995,yr.since.coy.2000,yr.since.coy.2005,yr.since.coy.2010,yr.since.coy.2014,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2014,pop.growth.2005.2010,WHITE,BLACK,MED_AGE,Area_sqkm,Pop.dens.2010,BIO5_median,BIO6_median,BIO7_median,BIO12_median,BIO15_median,BIO17_median,altitude,snow_mean,OPEN_WATER.1992,LOW_INTENS.1992,high.developed.1992,DECIDUOUS_.1992,EVERGREEN.1992,MIXED_FORE.1992,SHRUBLAND.1992,grass.pastures.1992,ROW_CROPS.1992,WOODY_WETL.1992,HERBACEOUS_WETL.1992,water.2001,devel.21.22.2001,devel.23.24.2001,decidious.f.2001,evergreen.2001,mixed.f.2001,shrub.2001,grass.pastures.2001,crops.2001,woody.wetlands.2001,herbaceous.wetlands.2001,water.2006,devel.21.22.2006,devel.23.24.2006,decidious.f.2006,evergreen.2006,mixed.f.2006,shrub.2006,grass.pastures.2006,crop.2006,woody.wetlands.2006,herbaceous.wetlands.2006,tree.canopy_mean.2011,water.2011,decidious.f.2011,evergreen.2011,mixed.f.2011,shrub.2011,grass.pasture.2011,crops.2011,woody.wetl.2011,herbaceous.wetlands.2011,devel.21.22.2011,devel.23.24.2011,NPPmedian,NPPstdev,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
1980,Union,North Carolina,1994,1995,1990,-4,-80.53,34.99,0,0,0,1,6,11,16,20,70436,76715,84210,100597,125573,160835,202206,218568,1.046845752,158954,23558,36.1,1657.54,121.44,318,-13,330,1174,14,253,176.46,2.55,0.46,2.6,0.95,25.06,11.63,10.85,0,28.18,18.09,0.73,0.05,0.42,9.88,1.04,31.14,8.55,2.08,0.37,43.65,1.55,0.75,0.01,0.419,9.876,1.039,31.139,8.555,2.076,0.369,43.648,1.55,0.746,0.005,42.341,0.429,30.339,8.962,1.905,1.147,39.669,2.26,0.715,0.014,12.134,1.65,1035.333374,112.1553108,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,13,15,29,21,51,34,61,77,103,149,180,263,331,366,477,521,472,663,635,488,604,450,637,624,705,831,826,728,844,770,867,942,1113,1227,1137,
347,Highlands,Florida,1995,1995,1990,-5,-82.31,27.93,0,0,2,7,12,17,22,26,47526,57508,68432,80792,87417,95614,98786,98236,1.014624627,79972,9263,51.5,2883.23,34.262,334,92,243,1215,57,143,25.93,0,6.27,8.67,1.39,0,6.09,0,0.69,42.92,3.62,13.2,8.38,5.98,9.24,0.63,0,1.76,0.06,9.83,29.96,16.36,20.72,4.37,5.975,9.243,0.632,0,1.761,0.064,9.834,29.957,16.362,20.722,4.37,19.19,6.047,0,1.722,0.064,9.495,30.266,16.324,20.057,4.943,9.173,0.789,1111.333374,107.7938823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,386,783,744,561,845,418,273,125,264,,
1793,Sussex,New Jersey,1975,1975,1970,-5,-74.69,41.13,5,10,15,20,25,30,35,39,116119,122341,130936,138574,144714,150192,149239,144909,0.998727724,139504,2677,41.7,1372.49,108.755,278,-98,378,1166,12,245,248.28,40.88,3.19,3.79,1.21,33.31,3.32,29.48,0,17.41,2.58,4.14,0.63,2.93,10.75,0.62,41.48,0.62,10.22,0.55,7.33,10.03,14.15,1.16,2.933,10.749,0.617,41.485,0.622,10.219,0.553,7.33,10.034,14.149,1.162,59.267,2.921,41.335,0.617,10.139,0.537,7.262,9.609,14.066,1.236,11.212,0.857,1195.833374,119.0759441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3196,3014,3416,3410,2981,3117,2542,2583,2640,2144,2247,2445,2062,2029,2133,2069,2022,1846,1607,1834,1481,
1833,Cattaraugus,New York,1975,1975,1970,-5,-78.68,42.25,5,10,15,20,25,30,35,39,85697,85545,84234,85040,83927,82039,80229,78600,0.995548,74639,1024,40.7,3465.41,23.177,256,-115,369,1109,16,209,525.44,76.18,1,0.59,0.44,47.12,0.94,23.01,0,21.63,3.93,0.77,0.03,0.76,3.64,0.27,61.96,5.29,2.51,2.82,10.15,9.91,1.98,0.3,0.761,3.644,0.269,61.96,5.286,2.506,2.823,10.149,9.909,1.982,0.302,58.74,0.798,61.617,5.187,2.478,3.059,10.165,9.865,1.978,0.345,3.716,0.327,1090,131.9273331,1096,1514,976,1212,1077,908,1003,1381,1468,1427,1258,1684,1373,1899,2308,2315,1783,1810,1991,2386,3492,3167,2874,2608,2767,3361,4839,5236,3852,3491,3651,4468,4729,5153,4298,4420,4873,5209,4714,4290,3664,4702,5320,5484,5762,6243,7031,6865,7001,5283,4067,3921,4320,4470,3871,4369,4335,4178,4564,4004,3789,3877,
1837,Chenango,New York,1965,1965,1960,-5,-75.61,42.5,15,20,25,30,35,40,45,49,49344,49668,51768,52127,51325,51154,50405,49426,0.997054284,48896,345,42.9,2373.09,21.271,257,-115,371,1044,14,206,445.82,85.21,0.59,0.51,0.36,35.92,8.41,28.61,0,20.98,4.08,0.25,0.01,0.71,3.46,0.17,36.81,9.9,14.52,1.95,21.89,6.51,3.4,0.71,0.706,3.46,0.169,36.811,9.897,14.519,1.951,21.894,6.507,3.395,0.713,54.994,0.712,36.671,9.738,14.476,2.262,21.906,6.505,3.383,0.725,3.446,0.195,1018.333313,78.07439515,1191,1821,946,1001,938,749,1042,1390,1502,1345,1176,896,1091,1618,2139,1989,1257,1341,1600,2247,3010,2737,2216,1999,1990,2330,2690,2868,2814,2741,2660,2599,2655,2880,2738,2605,2565,2865,3323,2536,1999,2380,2325,2704,2797,2717,3133,2966,2660,2302,1771,2365,2769,2815,2991,2786,3056,2773,3127,3175,2884,2702,
1842,Dutchess,New York,1955,1955,1950,-5,-73.74,41.77,25,30,35,40,45,50,55,59,245055,252443,259462,266538,280914,294362,297577,296579,1.002174904,238387,29518,40.2,2142.15,138.874,280,-100,379,1103,10,235,163.9,48.26,3.45,5.58,2.65,34.31,4.11,26.49,0,16.17,2.83,2.96,0.21,3.03,10.81,2.72,46.75,3.84,1.45,2.77,19.04,1.7,6.17,1.48,3.027,10.809,2.723,46.754,3.842,1.449,2.769,19.035,1.699,6.168,1.476,55.433,3.09,45.97,3.75,1.382,2.742,18.498,1.644,6.107,1.471,11.822,3.283,1228.333374,97.45054612,994,1135,1185,1591,1248,1134,988,1002,1002,750,774,959,1101,1261,1393,1267,1062,1070,989,1329,1631,1887,1549,1855,1929,2156,2315,2619,2491,2338,2394,2397,3051,2999,2984,3376,3644,3205,3921,3536,2700,3183,3013,3203,2987,3054,3361,2733,2700,2477,2333,2010,1894,2046,2171,1878,1827,1990,2014,1731,1463,1142,
1846,Fulton,New York,1955,1955,1950,-5,-74.42,43.11,25,30,35,40,45,50,55,59,55153,54480,54191,55217,54976,55301,55526,54105,1.000812407,52948,1060,41.7,1368.56,40.576,259,-130,388,1155,10,245,374.92,90.31,7.06,1.21,1.38,47.31,12.87,11.15,0,9.79,2.15,6.06,0.75,6.83,4.94,0.55,30.76,20.79,11.16,2.06,7.88,2.95,10.96,0.55,6.83,4.942,0.548,30.764,20.791,11.163,2.059,7.878,2.95,10.963,0.548,62.633,6.799,30.711,20.676,11.132,2.131,7.91,2.945,11.016,0.526,4.953,0.639,1214.666626,75.17128526,179,156,137,180,170,177,206,179,192,183,124,174,195,171,170,92,74,101,103,86,120,108,153,163,96,70,122,171,159,201,195,272,391,264,287,375,377,451,438,413,380,469,382,480,526,589,715,625,690,540,570,494,573,688,714,597,598,646,704,904,738,722,
1849,Hamilton,New York,1955,1955,1950,-5,-74.5,43.66,25,30,35,40,45,50,55,59,5034,4965,5279,5245,5377,5093,4831,4715,0.989492877,4705,35,51.1,4701.93,1.029,238,-157,390,1227,11,260,608.49,102.62,5.19,0.01,0.11,68.56,10.01,8.69,0,0.13,0.19,6.74,0.42,6.13,0.88,0.01,55.27,19.14,11.61,2.27,0.12,0.01,3.73,0.84,6.134,0.881,0.01,55.272,19.138,11.614,2.275,0.12,0.014,3.733,0.842,76.493,6.104,55.295,19.098,11.603,2.323,0.091,0.013,3.81,0.836,0.877,0.016,1219,21.36926682,2139,1834,1682,1794,1759,1617,1369,1397,1477,1439,1431,1696,1682,1856,1598,1373,778,540,634,525,694,654,1042,857,591,491,837,897,832,1035,1078,1016,1315,960,1099,1167,1001,1068,996,948,774,898,730,854,799,889,1019,793,955,745,732,826,855,964,1289,510,560,616,867,1000,894,665,
1850,Herkimer,New York,1955,1955,1950,-5,-74.96,43.42,25,30,35,40,45,50,55,59,66714,66536,65809,66711,64451,64292,64502,63744,1.000652418,62320,700,42.1,3767.39,17.126,245,-148,395,1227,13,251,470.02,105.11,3.12,0.59,0.58,51.02,4,13.2,0,15.14,2.33,9.35,0.55,3.62,2.3,0.22,46.07,9.96,9.2,5.93,10.68,5.6,5.57,0.77,3.622,2.3,0.216,46.071,9.957,9.198,5.934,10.68,5.596,5.566,0.768,61.296,3.589,46.061,9.918,9.18,5.94,10.674,5.576,5.638,0.743,2.278,0.271,1219.5,141.3252445,1384,984,892,1023,953,1027,942,884,859,829,871,1043,1035,1059,1104,828,423,306,343,469,466,565,614,589,489,488,733,916,742,780,993,1040,1271,1214,1299,1270,1300,1464,1399,1392,1135,1421,1238,1412,1521,1518,1719,1677,1679,1448,1348,1656,1679,1818,1997,1870,1930,1763,2147,2112,2014,1783,
1860,Niagara,New York,1975,1975,1970,-5,-78.74,43.2,5,10,15,20,25,30,35,39,227354,218246,220756,223958,219620,216818,216546,213525,0.999748972,191673,14851,41.8,1323.3,163.583,275,-86,362,858,13,179,142.11,60.96,1.51,3.84,2.37,17.28,0.04,3.18,0,46.35,21.89,0.94,0.35,1.6,11.57,2.38,16.96,0.17,0.42,0.41,24.01,27.11,13.27,1.28,1.597,11.568,2.382,16.955,0.169,0.422,0.413,24.012,27.106,13.273,1.275,25.229,1.628,16.795,0.17,0.42,0.453,23.704,26.827,13.173,1.243,11.99,2.71,844,56.82081195,72,90,58,75,45,38,37,35,63,55,81,78,48,70,82,86,89,68,80,70,89,100,95,83,109,180,224,269,322,377,303,284,352,454,447,539,589,583,547,533,570,772,654,671,678,648,849,933,932,920,723,918,876,1019,1036,929,1099,1203,1238,1255,1069,989,
1862,Onondaga,New York,1965,1965,1960,-5,-76.19,43.01,15,20,25,30,35,40,45,49,463920,467054,468973,470235,458034,460910,467204,468196,1.002716322,378885,51220,38.5,2095.78,222.841,270,-100,368,1032,12,209,241.14,75.8,3.69,6.49,5.03,30.57,0.88,11.69,0,28.44,8.24,2.38,0.25,3.88,14.48,4.05,23.78,1.68,1.93,6.29,20.3,14.03,8.2,1.01,3.877,14.477,4.047,23.778,1.677,1.933,6.289,20.303,14.029,8.196,1.008,34.229,3.874,23.492,1.653,1.905,6.181,19.803,13.801,8.158,1.015,15.174,4.489,928,59.09001064,239,284,150,129,109,63,98,136,152,117,200,225,251,337,406,408,294,292,349,494,593,485,467,434,544,643,763,931,986,962,949,1113,1105,1437,1309,1546,1569,1518,1820,1542,1225,1621,1426,1605,1666,1644,1873,1906,1790,1706,1270,1336,1516,1776,1829,2165,2337,2316,2573,2365,2236,1900,
1879,Steuben,New York,1975,1975,1970,-5,-77.38,42.27,5,10,15,20,25,30,35,39,99217,96800,99088,99950,98764,98868,98930,98394,1.000125388,94315,1540,41.5,3641.53,27.184,263,-109,372,853,22,148,495.95,64,1.08,0.64,0.47,47.26,0.95,17.62,0,24.08,7.21,0.19,0.02,1.19,4.44,0.37,39.65,5.51,10.61,3.38,18.68,13.97,1.62,0.49,1.187,4.437,0.374,39.653,5.514,10.614,3.383,18.678,13.972,1.623,0.487,46.87,1.191,39.549,5.48,10.584,3.446,18.649,13.97,1.617,0.495,4.461,0.414,947.333313,98.87367841,1319,1725,1415,1644,1609,1193,1409,1972,2278,2679,2703,3033,2739,3035,3189,3316,2819,2868,3166,3666,4411,4088,3558,3638,4189,4775,5686,5433,5324,5848,5229,4071,4368,5612,5998,6354,6355,6813,7372,6021,5141,6850,6026,7998,7725,7201,8437,7908,8176,6242,4499,4541,4972,5657,5326,5126,5120,5172,5562,4840,4834,4987,
1883,Tompkins,New York,1975,1975,1970,-5,-76.48,42.45,5,10,15,20,25,30,35,39,87085,89791,94097,96870,96608,99433,101620,104691,1.004360744,83941,4020,29.8,1295.84,78.377,264,-101,366,936,19,169,371.85,63.34,2.8,2.11,0.78,33.17,2.13,22.51,0,29.66,4.68,0.6,0.05,2.85,5.93,0.73,24.48,4.64,14.56,5.66,22.4,13.76,4.29,0.55,2.853,5.933,0.733,24.481,4.641,14.564,5.663,22.396,13.76,4.288,0.551,42.915,2.881,24.482,4.567,14.466,5.725,22.273,13.803,4.249,0.564,5.961,0.865,1041.333374,90.33386409,429,496,455,500,407,281,316,454,551,577,570,508,529,669,787,762,590,588,719,846,1092,939,798,906,1061,1135,1400,1622,1664,1719,1712,1568,1575,1838,1736,1647,1732,2138,1952,1757,1378,1639,1599,1995,1951,2051,2174,2224,2197,2196,1756,1836,1789,1853,1820,1676,1730,1794,1833,1519,1439,1383,
1778,Camden,New Jersey,1996,2000,1990,-6,-74.97,39.8,0,0,0,0,4,9,14,18,471650,487400,502824,509582,506707,511982,513607,511038,1.000633984,335389,100441,37.8,588.17,873.312,300,-51,350,1129,12,254,30.14,21,3.26,29.62,11.37,15.37,6.1,10.65,0,9.27,3.96,7.43,0.37,2.75,39.05,12.61,14.45,3.47,1.95,1.49,1.58,6.13,15.2,0.75,2.746,39.045,12.61,14.448,3.471,1.954,1.489,1.579,6.133,15.203,0.753,37.566,2.788,13.757,3.27,1.914,1.7,1.561,5.814,14.794,0.765,38.787,14.252,1191.166626,745.9295662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,227,227,245,292,335,300,286,389,279,301,238,243,296,292,358,341,327,374,338,363,
1788,Morris,New Jersey,1976,1980,1970,-6,-74.54,40.85,4,9,14,19,24,29,34,38,407630,419190,421330,445308,471326,485472,492694,499727,1.002957701,406683,15360,41.2,1246.61,394.892,280,-88,368,1265,11,271,198.32,32.08,2.75,16.38,5.71,32.51,0.99,22.27,0,7.79,1.28,8.3,0.72,2.49,26.94,4.09,40.02,0.07,0.98,1.27,3.6,2.86,16.66,0.72,2.491,26.942,4.093,40.015,0.066,0.984,1.267,3.599,2.864,16.656,0.718,57.184,2.498,39.222,0.066,0.962,1.187,3.541,2.603,16.39,0.7,27.669,4.8,1310,46.77793381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2223,2050,1971,2050,1450,1292,1119,1370,1262,903,1031,1195,1228,1321,1340,1414,1329,1151,1054,973,806,
1913,Cleveland,North Carolina,1996,2000,1990,-6,-81.55,35.33,0,0,0,0,4,9,14,18,83435,84172,84958,90738,96357,96844,98050,97076,1.002478289,74123,20332,40.3,1195.51,82.039,314,-21,336,1261,10,286,273.9,3.22,0.77,4.24,2.47,19.46,18.54,11.52,0,22.61,16.83,0.8,0.06,0.7,12.92,1.04,33.29,7.88,1.76,1.57,38.82,0.35,0.83,0,0.702,12.919,1.041,33.289,7.883,1.756,1.573,38.818,0.35,0.828,0.005,48.99,0.697,32.483,7.488,1.594,2.844,38.344,0.331,0.846,0.023,13.204,1.244,1127.333374,119.7952959,,,,,,,,,,,,,,,,,,,,,,,26,18,32,29,31,50,38,74,73,67,120,139,178,239,255,307,303,434,394,460,510,416,453,503,396,428,404,454,474,566,578,614,566,588,591,652,813,874,938,920,
1931,Guilford,North Carolina,1996,2000,1990,-6,-79.78,36.07,0,0,0,0,4,9,14,18,317154,329656,347431,387665,422324,448192,489681,512119,1.017864179,278525,158899,36.3,1704.43,286.551,312,-24,335,1131,10,251,242.2,5.11,1.5,10.01,8,32.11,11.88,8.41,0,15.68,9.44,0.91,0.22,1.52,24.74,6.42,31.54,4.83,1.39,1.16,26.32,0.65,0.94,0.02,1.524,24.741,6.422,31.538,4.831,1.395,1.163,26.316,0.649,0.938,0.019,48.964,1.66,29.566,4.309,1.284,1.441,25.723,0.592,0.913,0.035,26.388,7.642,1138.666626,81.06715822,,,,,,,,,,,,,,,,,,,,,,,17,12,25,24,20,24,55,70,78,83,100,149,177,232,280,303,371,405,454,501,443,503,580,568,497,555,440,534,644,713,747,683,768,712,737,659,745,819,820,932,
1943,Lee,North Carolina,1996,2000,1990,-6,-79.17,35.47,0,0,0,0,4,9,14,18,36718,39719,41370,45698,49482,51056,57951,59662,1.025658609,38688,11565,37.2,655.17,88.323,316,-16,332,1172,16,243,106.71,3.71,0.78,2.87,1.56,35.01,24.73,13.57,0,4.53,12.39,2.52,0.12,0.77,11.26,1.27,26.31,21.18,7.71,2.81,21.96,3.84,2.17,0.12,0.771,11.259,1.265,26.313,21.178,7.713,2.815,21.957,3.841,2.171,0.119,66.452,0.792,25.854,19.875,7.005,3.706,22.405,3.961,2.215,0.151,11.809,1.596,1132.333374,190.2013126,,,,,,,,,,,,,,,,,,,,,,,1,0,0,9,13,25,24,43,41,53,86,180,160,244,255,276,260,325,283,341,248,260,318,327,335,340,229,323,323,277,302,348,181,228,183,202,209,206,175,279,
1950,Mecklenburg,North Carolina,1996,2000,1990,-6,-80.83,35.25,0,0,0,0,4,9,14,18,404270,448881,511211,596036,700458,798701,923427,1012539,1.029446231,508946,282804,33.9,1456.8,631.266,318,-15,333,1150,11,257,215.96,2.65,3.62,15.02,12.39,15.63,21.84,11.9,0,6.49,8.02,1.27,0.11,3.34,45.36,9.51,21.94,6.46,0.7,0.27,10.68,0.09,0.87,0.01,3.343,45.356,9.505,21.937,6.462,0.695,0.266,10.685,0.092,0.867,0.009,49.076,3.425,18.683,5.228,0.568,0.599,8.319,0.081,0.817,0.016,48.242,13.043,1203.833252,494.2925872,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,36,15,24,38,13,37,44,43,62,53,100,109,104,110,140,156,129,162,177,157,191,192,222,224,228,289,343,313,289,272,304,335,392,379,362,
1961,Pender,North Carolina,1996,2000,1990,-6,-77.92,34.53,0,0,0,0,4,9,14,18,22262,24390,28855,35194,41212,45485,52433,56250,1.028838723,39756,9269,41.1,2183.4,23.915,318,6,312,1351,31,238,11.36,3.04,0.78,0.67,0.44,3.21,37.13,5.12,0,3.19,10.06,38.04,0.42,1.11,3.32,0.11,0.11,21.66,1.51,11.19,3.04,10.91,45.2,1.58,1.108,3.316,0.114,0.108,21.659,1.509,11.194,3.036,10.907,45.2,1.581,71.044,1.137,0.1,19.474,1.322,12.282,3.982,10.661,44.388,2.351,3.635,0.16,1857.666626,239.6088593,,,,,,,,,,,,,,,,,,,,,,,1108,1170,1308,1321,1119,1342,1309,1562,1403,1329,1394,1610,1833,1580,1782,1835,1774,2131,1849,1802,1705,1733,1847,1828,2046,2036,1841,2005,1906,1860,1928,2064,2051,1841,1742,1759,1768,1593,1357,1301,
1971,Rutherford,North Carolina,1996,2000,1990,-6,-81.92,35.4,0,0,0,0,4,9,14,18,53787,56153,56956,60103,63064,65126,67772,66600,1.00799686,58221,6854,42.4,1484.37,45.683,314,-23,337,1325,9,301,337.63,3.32,0.37,2.61,1.37,36.98,22.27,17.48,0,7.46,8.21,0.67,0.04,0.51,9.42,0.57,47.83,13.24,1.56,1.27,22.67,0.03,0.81,0,0.506,9.419,0.566,47.827,13.238,1.561,1.272,22.674,0.029,0.812,0,68.754,0.498,45.669,12.326,1.411,5.061,22.269,0.069,0.819,0.041,9.351,0.761,1430.5,120.3425464,,,,,,,,,,,,,,,,,,,,,,,67,53,95,93,107,110,121,175,201,227,296,484,473,542,705,799,742,887,888,1051,1047,972,1039,1017,871,951,807,831,832,848,877,778,859,731,783,786,865,994,871,1032,
1985,Watauga,North Carolina,1996,2000,1990,-6,-81.69,36.22,0,0,0,0,4,9,14,18,31666,35083,36952,40569,42905,46390,51041,52560,1.019292809,48272,877,28.7,818.93,62.373,257,-61,318,1421,10,304,1011.68,15.68,0.12,1.18,0.85,53.7,13.14,18.1,0,8.72,2.96,0.04,0.03,0.05,9.18,0.55,71.57,2.6,1.82,1.1,12,0.06,0.06,0,0.052,9.182,0.551,71.568,2.596,1.821,1.096,12.003,0.058,0.056,0,77.647,0.062,71.18,2.586,1.798,1.517,11.809,0.052,0.056,0,9.064,0.833,1518,39.24059086,,,,,,,,,,,,,,,,,,,,,,,8,6,8,12,20,18,20,8,20,34,30,51,79,93,97,171,243,247,269,287,340,327,351,501,387,389,507,496,526,584,621,627,648,742,607,686,652,587,611,683,
325,Brevard,Florida,1997,2000,1990,-7,-80.75,28.26,0,0,0,0,3,8,13,17,272959,336935,398978,451310,477819,529907,543376,556885,1.005032623,450927,54799,45.5,2651.99,204.894,321,104,217,1257,42,174,8.19,0,7.72,7.32,8.54,0,15.9,0,0.45,14.92,2.92,14.49,21.82,5.89,18.21,2.96,0.03,3.45,0.21,2.75,9.38,6.44,32.25,17.61,5.89,18.21,2.96,0.028,3.447,0.213,2.755,9.376,6.437,32.253,17.611,28.828,6.219,0.028,3.489,0.209,3.292,9.088,6.241,30.219,17.832,18.41,4.044,1472.666626,253.9897266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,771,783,744,491,1430,2222,1070,1185,473,,
371,Pasco,Florida,1997,2000,1990,-7,-82.39,28.31,0,0,0,0,3,8,13,17,193661,242026,281131,308747,347038,421844,464697,485331,1.019538425,409784,20700,43.6,1959.21,237.186,328,89,240,1352,50,185,28.17,0,1.61,10.96,5.64,0,16.09,0,1.05,21.85,10.67,16.63,5.73,0.9,18.71,5.06,0.16,13.53,0.12,9.02,19.69,2.35,25.07,3.97,0.9,18.711,5.063,0.163,13.528,0.124,9.019,19.69,2.353,25.069,3.969,38.897,0.972,0.16,13.606,0.121,8.575,18.527,2.164,23.808,4.041,19.803,6.702,1142.666748,145.4512463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,806,335,521,1752,845,1681,1184,1369,884,,
376,St. Lucie,Florida,1997,2000,1990,-7,-80.49,27.38,0,0,0,0,3,8,13,17,87182,115949,150171,176229,193518,241965,277789,291028,1.027998542,199336,53036,42.4,1467.34,189.315,325,111,214,1293,43,177,11.32,0,3.33,12.09,5.59,0,6.5,0,0.06,24.53,2.74,8.03,9.03,1.96,21.28,2.15,0.02,1.8,0.03,1.17,13.58,37.72,15.39,4.04,1.961,21.284,2.149,0.022,1.804,0.029,1.166,13.579,37.716,15.386,4.035,14.635,2.079,0.022,1.751,0.029,1.196,12.903,37.032,14.494,4.297,21.73,3.528,1324.666626,60.88373192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,175,335,1191,350,520,665,462,108,122,,
379,Seminole,Florida,1997,2000,1990,-7,-81.23,28.71,0,0,0,0,3,8,13,17,179752,231458,287521,331587,367378,406840,422718,442516,1.007686451,330664,47107,38,886.37,476.911,328,91,237,1257,47,162,17.04,0,10.08,15.42,11.75,0,17.6,0,0.95,8.14,2.31,17.25,8.34,8.71,32.59,5.84,0,5.52,0.4,2.05,5.54,1.23,28.98,8.17,8.71,32.588,5.841,0.003,5.523,0.402,2.053,5.536,1.234,28.979,8.166,36.232,8.697,0.004,5.231,0.387,2.206,5.162,1.065,27.444,8.231,32.866,7.756,1344,145.8062974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,315,2460,595,70,1170,196,384,494,203,,
384,Volusia,Florida,1997,2000,1990,-7,-81.19,29.06,0,0,0,0,3,8,13,17,258762,311180,370737,413419,444935,486297,494593,507531,1.00338886,408256,51791,45.3,3121.6,158.442,326,82,243,1305,42,191,13.49,0,9.91,7.29,4.93,0,37.39,0,0.84,5.02,1.4,20.03,7.74,9.1,16.59,1.56,0.01,23.27,0.17,7.32,5.91,0.4,22.91,11.58,9.098,16.592,1.557,0.008,23.267,0.172,7.315,5.909,0.397,22.912,11.579,44.236,9.11,0.014,22.06,0.168,7.797,6.078,0.369,22.586,11.539,16.827,2.205,1649.333374,231.9702058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1507,2795,2233,1472,1821,2194,2073,1284,1783,,
2111,Preble,Ohio,1947,1950,1940,-7,-84.64,39.74,33,38,43,48,53,58,63,67,38223,38990,40113,41524,42381,42584,42185,41586,0.998118994,41242,180,40.9,1125.03,37.572,294,-85,379,1010,19,199,314.84,34.81,0.37,0.99,0.48,11.43,0.52,0.02,0,17.56,66.49,0.11,0.02,0.49,7.54,0.41,12.18,0.38,1.17,0.01,9.83,66.2,0.1,0.1,0.492,7.537,0.413,12.176,0.375,1.169,0.011,9.826,66.197,0.099,0.103,13.978,0.499,12.148,0.376,1.168,0.011,9.792,66.122,0.099,0.103,7.6,0.481,869.666687,20.25271175,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,33,59,62,62,92,117,152,180,202,238,242,273,300,291,225,167,166,231,276,282,287,329,253,341,351,378,372,434,375,443,433,382,387,417,
321,Alachua,Florida,1988,1990,1980,-8,-82.35,29.68,0,0,2,7,12,17,22,26,151369,169515,181596,203700,218611,233756,247336,256380,1.011357998,172156,50282,30.1,2557.13,96.724,328,56,272,1322,42,191,38,0,4.07,5.17,1.25,0,37.68,0,2.29,14.27,16.54,7.99,4.78,3.18,8.34,0.74,0.2,32.45,1.47,13.54,18.76,3.21,11.23,5.6,3.176,8.336,0.743,0.198,32.449,1.475,13.537,18.762,3.209,11.226,5.604,53.435,3.24,0.187,31.945,1.435,13.499,18.867,3.027,11.165,5.613,8.641,1.033,1389,256.6089374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159,3120,2795,3721,3785,5137,3702,5006,1742,1138,,
324,Bradford,Florida,1988,1990,1980,-8,-82.16,29.95,0,0,2,7,12,17,22,26,20023,22629,22515,24534,26064,28098,28520,26702,1.002985888,21801,5823,39.5,760.13,37.52,327,51,276,1334,41,193,45.28,0.37,2.31,2.8,0.56,0,53.24,0,1.85,10.5,6.88,13.7,2.24,2.13,7.06,0.32,0.2,31.59,1.68,17.15,14.96,2.38,19.5,1.45,2.132,7.06,0.319,0.201,31.593,1.679,17.147,14.964,2.378,19.496,1.451,57.831,2.197,0.181,30.565,1.594,17.231,16.06,2.3,18.883,1.958,7.016,0.441,1586.333374,192.8787055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,561,1006,1116,350,520,1075,736,808,492,,
